162206
f	p	v	t
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
16	1337	16	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
19	1343	19	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
21	1347	21	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	1358
29	1356	29	0
36	1357	36	0
15	-1	15	1361
16	1359	16	0
21	1360	21	0
15	-1	15	0
15	-1	15	1365
28	1363	28	0
29	1364	29	0
15	-1	15	0
15	-1	15	0
28	1367	28	0
15	-1	15	0
15	-1	15	0
20	1370	20	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
18	1382	18	0
15	-1	15	0
20	1384	20	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
20	1390	20	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
17	1394	17	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
16	1398	16	0
15	-1	15	1402
21	1400	21	0
30	1401	30	0
15	-1	15	0
16	1403	16	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
16	1412	16	0
15	-1	15	1416
27	1414	27	0
33	1415	33	0
15	-1	15	0
15	-1	15	0
21	1418	21	0
15	-1	15	0
15	-1	15	0
16	1421	16	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
16	1430	16	0
15	-1	15	0
15	-1	15	0
22	1433	22	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
19	1463	19	0
15	-1	15	0
15	-1	15	0
16	1466	16	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
16	1493	16	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
16	1498	16	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
30	1507	30	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
16	1511	16	0
15	-1	15	0
15	-1	15	0
28	1514	28	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
17	1531	17	0
15	-1	15	0
15	-1	15	1537
16	1534	16	1537
21	1535	21	0
36	1536	36	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
15	-1	15	0
18	1549	18	0
15	-1	15	0
15	-1	15	0
24	1552	24	0
15	-1	15	0
15	-1	15	0
29	1555	29	0
15	-1	15	0
15	-1	15	0
